c0c1c2c3c4c5c6-cluster.xyz-fhiaims.out.data:energy   -612.40884406 
c0c1c2c3c4c5-cluster.xyz-fhiaims.out.data:energy   -535.84127348 
c0c1c2c3c4c6-cluster.xyz-fhiaims.out.data:energy   -535.83476794 
c0c1c2c3c4-cluster.xyz-fhiaims.out.data:energy   -459.27560124 
c0c1c2c3c5c6-cluster.xyz-fhiaims.out.data:energy   -535.83281579 
c0c1c2c3c5-cluster.xyz-fhiaims.out.data:energy   -459.27343991 
c0c1c2c3c6-cluster.xyz-fhiaims.out.data:energy   -459.26780527 
c0c1c2c3-cluster.xyz-fhiaims.out.data:energy   -382.71393126 
c0c1c2c4c5c6-cluster.xyz-fhiaims.out.data:energy   -535.84274952 
c0c1c2c4c5-cluster.xyz-fhiaims.out.data:energy   -459.28626853 
c0c1c2c4c6-cluster.xyz-fhiaims.out.data:energy   -459.27667705 
c0c1c2c4-cluster.xyz-fhiaims.out.data:energy   -382.72446560 
c0c1c2c5c6-cluster.xyz-fhiaims.out.data:energy   -459.27600325 
c0c1c2c5-cluster.xyz-fhiaims.out.data:energy   -382.72332620 
c0c1c2c6-cluster.xyz-fhiaims.out.data:energy   -382.71573443 
c0c1c2-cluster.xyz-fhiaims.out.data:energy   -306.16571279 
c0c1c3c4c5c6-cluster.xyz-fhiaims.out.data:energy   -535.86650671 
c0c1c3c4c5-cluster.xyz-fhiaims.out.data:energy   -459.29925471 
c0c1c3c4c6-cluster.xyz-fhiaims.out.data:energy   -459.28706627 
c0c1c3c4-cluster.xyz-fhiaims.out.data:energy   -382.72830704 
c0c1c3c5c6-cluster.xyz-fhiaims.out.data:energy   -459.29546437 
c0c1c3c5-cluster.xyz-fhiaims.out.data:energy   -382.73643970 
c0c1c3c6-cluster.xyz-fhiaims.out.data:energy   -382.72743252 
c0c1c3-cluster.xyz-fhiaims.out.data:energy   -306.17388723 
c0c1c4c5c6-cluster.xyz-fhiaims.out.data:energy   -459.30296814 
c0c1c4c5-cluster.xyz-fhiaims.out.data:energy   -382.74630349 
c0c1c4c6-cluster.xyz-fhiaims.out.data:energy   -382.73166549 
c0c1c4-cluster.xyz-fhiaims.out.data:energy   -306.17932762 
c0c1c5c6-cluster.xyz-fhiaims.out.data:energy   -382.73958218 
c0c1c5-cluster.xyz-fhiaims.out.data:energy   -306.18679203 
c0c1c6-cluster.xyz-fhiaims.out.data:energy   -306.17629327 
c0c1-cluster.xyz-fhiaims.out.data:energy   -229.62615425 
c0c2c3c4c5c6-cluster.xyz-fhiaims.out.data:energy   -535.86366787 
c0c2c3c4c5-cluster.xyz-fhiaims.out.data:energy   -459.29073441 
c0c2c3c4c6-cluster.xyz-fhiaims.out.data:energy   -459.29524341 
c0c2c3c4-cluster.xyz-fhiaims.out.data:energy   -382.73316412 
c0c2c3c5c6-cluster.xyz-fhiaims.out.data:energy   -459.28936656 
c0c2c3c5-cluster.xyz-fhiaims.out.data:energy   -382.72484973 
c0c2c3c6-cluster.xyz-fhiaims.out.data:energy   -382.72849792 
c0c2c3-cluster.xyz-fhiaims.out.data:energy   -306.17179721 
c0c2c4c5c6-cluster.xyz-fhiaims.out.data:energy   -459.29511799 
c0c2c4c5-cluster.xyz-fhiaims.out.data:energy   -382.73420796 
c0c2c4c6-cluster.xyz-fhiaims.out.data:energy   -382.73512462 
c0c2c4-cluster.xyz-fhiaims.out.data:energy   -306.18066755 
c0c2c5c6-cluster.xyz-fhiaims.out.data:energy   -382.72978136 
c0c2c5-cluster.xyz-fhiaims.out.data:energy   -306.17286195 
c0c2c6-cluster.xyz-fhiaims.out.data:energy   -306.17417146 
